8530401,s0,T18,T19,A physiological role for Saccharomyces cerevisiae ,copper/zinc superoxide dismutase, in ,copper," buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T29,T12,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in ",copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1," genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T30,T12,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and ",oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1," genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T12,T31,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress ,oxygen," toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T12,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ,copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T29,T13,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in ",copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1," mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T30,T13,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and ",oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1," mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T31,T13,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen, toxicity in ,sod1," mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T13,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1, mutants failed to suppress the ,copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T29,T30,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in ",copper, and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T29,T31,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in ",copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen," toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T29,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in ",copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T30,T31,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and ",oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen," toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T30,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and ",oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T31,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen, toxicity in sod1 mutants failed to suppress the ,copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T10,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1, in copper and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T11,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T12,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1," genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T13,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1," mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T29,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1, in ,copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T30,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1, in copper and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T31,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress ",oxygen," toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T9,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of ",SOD1," in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s6,T14,T15,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae ",SOD1, gene is transcriptionally induced by copper and the ,ACE1," transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s6,T14,T16,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae ",SOD1," gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of ",SOD1," promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s6,T14,T17,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae ",SOD1," gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the ",SOD1,"-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
