16669786,s0,T19,T1,The ,von Hippel-Lindau tumour-suppressor protein, interaction with ,protein kinase Cdelta,". 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Complex_formation
16669786,s1,T23,T3,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [",VCB, (pVHL-,elongin C,"-elongin B)-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T3,T34,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-",elongin C,"-elongin B)-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing ",proteasome,"-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T3,T7,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-",elongin C,-elongin B)-Cul-2 (Cullin-2)] with ,elongin C,", elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T3,T8,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-",elongin C,"-elongin B)-Cul-2 (Cullin-2)] with elongin C, ",elongin B,", Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T3,T9,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-",elongin C,"-elongin B)-Cul-2 (Cullin-2)] with elongin C, elongin B, ",Cul-2," and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T4,T10,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-",elongin B,")-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and ",Rbx1,", acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T20,T4,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The ",VHL (von Hippel-Lindau) tumour-suppressor protein, forms a multi-protein complex [VCB (pVHL-elongin C-,elongin B,")-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T4,T21,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-",elongin B,")-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ",ubiquitin-ligase (E3)," and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T23,T4,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [",VCB, (pVHL-elongin C-,elongin B,")-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T4,T34,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-",elongin B,")-Cul-2 (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing ",proteasome,"-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T4,T7,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-",elongin B,)-Cul-2 (Cullin-2)] with ,elongin C,", elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T4,T8,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-",elongin B,")-Cul-2 (Cullin-2)] with elongin C, ",elongin B,", Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T4,T9,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-",elongin B,")-Cul-2 (Cullin-2)] with elongin C, elongin B, ",Cul-2," and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T5,T10,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-",Cul-2," (Cullin-2)] with elongin C, elongin B, Cul-2 and ",Rbx1,", acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T20,T5,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The ",VHL (von Hippel-Lindau) tumour-suppressor protein, forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-,Cul-2," (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T5,T21,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-",Cul-2," (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ",ubiquitin-ligase (E3)," and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T5,T34,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-",Cul-2," (Cullin-2)] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing ",proteasome,"-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T5,T6,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-",Cul-2, (,Cullin-2,")] with elongin C, elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T5,T7,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-",Cul-2, (Cullin-2)] with ,elongin C,", elongin B, Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T5,T8,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-",Cul-2," (Cullin-2)] with elongin C, ",elongin B,", Cul-2 and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
16669786,s1,T5,T9,"The von Hippel-Lindau tumour-suppressor protein interaction with protein kinase Cdelta. 
The VHL (von Hippel-Lindau) tumour-suppressor protein forms a multi-protein complex [VCB (pVHL-elongin C-elongin B)-",Cul-2," (Cullin-2)] with elongin C, elongin B, ",Cul-2," and Rbx1, acting as a ubiquitin-ligase (E3) and directing proteasome-dependent degradation of targeted proteins. The alpha-subunit of Hif1alpha (hypoxia-inducible factor 1alpha) is the principal substrate for the VCB-Cul-2 complex; however, other substrates such as aPKC (atypical protein kinase C) have been reported. In the present study, we show with FRET (fluorescence resonance energy transfer) analysis measured by FLIM (fluorescence lifetime imaging microscopy) that PKCdelta and pVHL (VHL protein) interact directly in cells. This occurs through the catalytic domain of PKCdelta (residues 432-508), which appears to interact with two regions of pVHL, residues 113-122 and 130-154. Despite this robust interaction, analysis of the PMA-induced proteasome-dependent degradation of PKCdelta in different RCC (renal cell carcinoma) lines (RCC4, UMRC2 and 786 O) shows that there is no correlation between the degradation of PKCdelta and the presence of active pVHL. Thus, in contrast with aPKC, PKCdelta is not a conventional substrate of the ubiquitin-ligase complex, VCB-Cul-2, and the observed interaction between these two proteins must underlie a distinct signalling output. 
",Not_a_complex
