28585034	T5	dis	the evidence base of stress myocardial perfusion imaging (MPI), emphasizing new developments in single-photon emission tomography (SPECT) and positron emission tomography (PET) in the clinical evaluation of women presenting with symptoms of stable ischemic heart disease (SIHD). The clinical evaluation of symptomatic women is challenging due to their varying clinical presentation, clinical risk factor burden, high degree of comorbidity, and increased risk of major ischemic heart disease events. Evidence is substantial that both SPECT and PET MPI effectively risk stratify women with SIHD. The addition of coronary flow reserve (CFR) with PET improves risk detection, including for women with nonobstructive 	coronary artery disease	 and coronary microvascular dysfunction. With the advent of PET with computed tomography (CT), multiparametric imaging approaches may enable integration of MPI and CFR with CT visualization of anatomical atherosclerotic plaque to uniquely identify at-risk women. Radiation dose-reduction strategies, including the use of ultra-low-dose protocols involving stress-only imaging, solid-state detector SPECT, and PET, should be uniformly applied whenever possible to all women undergoing MPI. Appropriate candidate selection for stress MPI and for post-MPI indications for guideline-directed medical therapy and/or invasive coronary angiography are discussed in this statement. The critical need for randomized and comparative trial data in female patients is also
13498364	T3	out	DOCSTART [Histochemical examination of 	Kiss' polygonal cells	]. DOCEND
10921445	T9	che	DOCSTART Short-term effects of intramuscular and transdermal testosterone on bone turnover, prostate symptoms, cholesterol, and hematocrit in men over age 70 with low testosterone levels. The objective of the study was to determine whether short-term testosterone administration to older men with low bioavailable testosterone would have any immediate adverse effects, especially on the symptoms of benign prostate hyperplasia, preliminary to embarking on a long-term study of testosterone treatment. Transdermal and intramuscular testosterone were compared to determine whether there were any rapid changes in markers of bone formation or resorption with either 	testosterone	 administration. We undertook a non-randomized trial of 9 weeks intervention with either intramuscular testosterone, transdermal testosterone or neither followed by a 9-week observation period. Twenty-seven men over age 70 years with no medical conditions known to affect bone turnover and total testosterone levels below 350 ng/dl (normal range 350-1230 ng/dl) or bioavailable testosterone levels below 128 ng/dl (normal range 128-430 ng/dl) received either testosterone via transdermal patch (TP; two 2.5 mg patches/d), intramuscular testosterone enanthate (IM; 200 mg every 3 weeks) or no testosterone for 9 weeks of treatment followed by a 9 week observation period. Nine men were enrolled
20964122	T72	out	a 6-month-old boy with left corneal leukoma, strabismus, posterior urethral valve, tibial bowing and congenital pseudarthrosis of the tibia (CPT) on graphic of left tibia. The patient also had some minor anomalies such as short philtrum, full everted lower lip, microretrognathia, flexion contracture on his left thumb, deep palmar and plantar creases and three cafe-au-lait macules (CALM) larger than 1 cm on the abdomen. Peripheral blood karyotype analysis of the patient showed 46,XY(10%)/47,XY,+8 (90%)). Mosaic trisomy 8 is a rare syndrome characterized by renal, cardiac, ophthalmologic anomalies, dysmorphic facial features and some skeletal manifestations. When re-evaluated at 2 years of 	age	, his gross motor development was delayed and he also had 12 CALM larger than 1 cm, hence the patient fulfilled NIH diagnostic criteria for Neurofibromatosis type 1 (NF 1) based on the CALM and CPT. A truncating mutation was found through comprehensive NF1 mutation analysis, i.e., c.1019_1020delCT (p.Ser340CysfsX12). Here we report a patient with both mosaic trisomy 8 and NF1, which was not described previously. DOCEND
11590760	T5	che	DOCSTART Comparison of degradation reactions of Acid Yellow 61 in both oxidation processes of H2O2/UV and O3. The comparison of degradation of Acid Yellow 61 as a model dye compound in both oxidation processes of 	H2O2	/UV and O3 has been studied. When the decolorization rate of Acid Yellow 61 in both reactions presented similar, it was found there are some differences from the results of AOX removal and production of inorganic ions and organic acids. The results reveal that the H2O2/UV has beneficial effect on mineralization than O3 only for degradation of Acid Yellow 61 solution and it is possible for enhancement of method efficiency by taking longer reaction time and addition of high concentration of oxidants. DOCEND
2986943	T59	out	adrenal cells during adrenocorticotropin stimulation. Active (ouabain-sensitive) and passive (ouabain-insensitive) fluxes of 43K were measured in isolated bovine zona fasciculata/reticularis cells. ACTH inhibited passive influx in a dose-dependent manner and, at a concentration that maximally stimulated steroidogenesis (10(-8) M), also inhibited passive efflux. ACTH did not affect active potassium transport. Angiotensin II (10(-6) M) and cAMP (10(-2) M) inhibited passive influx to the same extent as did 10(-8) M ACTH. Angiotensin II (10(-6) M) also reduced active potassium uptake, although this did not appear to be related to changes in cortisol biosynthesis. Increases in cortisol synthesis by ouabain-treated cells in 	response	 to angiotensin II and ACTH were proportional to decreases in potassium influx. The addition of cortisol (1 microgram/ml) to cells slightly reduced passive potassium uptake, but not to the same extent as did 10(-8) M ACTH. Frusemide, an inhibitor of passive sodium/potassium cotransport, did not wholly abolish the effects of ACTH on potassium influx. These changes in flux are probably related to electrophysiological changes in membrane potential. Their significance in the regulation of ACTH actions has yet to be determined. DOCEND
2134298	T12	che	DOCSTART [Mouse interleukin-1 production by Actinobacillus actinomycetemcomitans Y4 lipopolysaccharide and augmenting effect of indomethacin on its production]. The present study demonstrates the ability of Actinobacillus actinomycetemcomitans lipopolysaccharide (LPS) to elicite interleukin-1 (IL-1) production and then augmenting effect of indomethacin on this production. LPS was isolated from A. actinomycetemcomitans Y4 by the hot 	phenol	-water procedure (A-LPS). A marked IL-1 production by peritoneal macrophages treated with A-LPS was observed in the cells from C3H/HeN mice, but not in those from C3H/HeJ mice. LPSs from A. actinomycetemcomitans ATCC 29522 and 29523 exhibited the same inducing activity for IL-1 production as did A-LPS. The IL-1 production with A-LPS was inhibited drastically when the LPS was pretreated with polymyxin B. A-LPS-induced IL-1 production was augmented significantly by treatment of the cells with a inhibitor, indomethacin, but not with a lipooxygenase inhibitor, nordihydroguariatic acid. The augmenting effect occurred as early as 3 hr after treatment of indomethacin. In
9412817	T83	out	compounds was monitored in hairless guinea pig (HGP) by a non-invasive method, reverse iontophoresis. Reverse iontophoresis is the movement of molecules from the skin under the influence of an applied electric field. Irritant drug compounds were applied with iontophoresis (electrotransport), and reverse iontophoresis of PGE2 from skin was monitored by radioimmunoassay (RIA) after extraction from the delivery system. Chlorpromazine was used as a model drug irritant. When chlorpromazine and saline were applied over a range of current densities from 0 to 200 microA/cm2, visual scores of erythema and edema yielded a correlation with measured skin efflux of PGE2 (r = 0.86). 	Delivery	 of chlorpromazine resulted in greater efflux of PGE2 than delivery of non-irritant saline controls under the same delivery conditions. Five drug compounds, chloroquine, promazine, chlorpromazine, tetracaine, metoclopramide, and saline were applied to hairless guinea pig skin. The 6 agents were similarly rank ordered by visual erythema/edema scores and by PGE2 efflux, indicating that the quantity of PGE2 effluxed reflects the intensity of skin irritation. In contrast, vasoconstriction or vasodilation produced by the local delivery of vasoactive agents did not correlate with PGE2 skin efflux, indicating that this measurement is specific for an inflammatory response. In summary, PGE2 generated in response
7349788	T2	dis	DOCSTART Use of active patient follow-up in cancer registries for designing epidemiologic studies. The two primary functions of a population-based 	cancer	 registry are to collect incidence data and survival data, often obtained by active contact methods. Because of the expense and complexities of epidemiological research in determining carcinogenic risk, existing aggregate data collection systems need to be utilized for generating hypotheses. Direct follow-up contact with a patient by mail provides a mechanism for identifying potential risk factors at low cost. This method is being used to solicit information concerning environmental exposure. In addition, analysis of preliminary data on education and occupation collected by the mechanism indicated that staying patterns of cancer differ between rural and urban areas in the state of
17107395	T85	out	is a range of treatments available, with varying degrees of efficacy and risk of adverse events. OBJECTIVES: To examine the extent to which the attributes of a treatment affect dermatologists' choice of drug therapy and explore the magnitude and nature of the trade-offs between the risks and benefits of treatment. METHODS: A postal questionnaire was sent to members of the British Association of Dermatologists (BAD). The questionnaire used a discrete choice experiment (DCE) to elicit dermatologists' preferences for the treatment of psoriasis. In all, 227 dermatologists completed the questionnaire. The results indicated that time to moderate improvement, time to relapse, 	risk	 of hypertension, liver damage, skin cancer and skin irritation were all important factors affecting dermatologists' choice of treatment. Comparing the coefficients for the different side-effects indicated that the dermatologists considered the risk of liver damage to be the most important side-effect, followed by the risk of skin cancer. The time to achieve a moderate (50%) improvement in psoriasis was prioritized over the time to relapse. CONCLUSIONS: This study has provided novel insight into the trade-offs that dermatologists face when selecting treatment for psoriasis patients. Future research should explore the extent to which dermatologists' preferences for treatment match those of psoriasis
19129247	T12	org	therapeutic glycoproteins. Yeast cells producing mammalian-type N-linked oligosaccharide show severe growth defects and the decreased protein productivity because of the disruption of yeast-specific glycosyltransferases. This decreased protein productivity in engineered yeast strains is an obstacle to the development of efficient glycoprotein production in yeast. For economic and effective synthesis of such therapeutic glycoproteins in yeast, the development of appropriate strains is highly desirable. We applied a novel mutagenesis technique that utilized the proofreading-deficient DNA polymerase delta variant encoded by the pol3-01 gene of Saccharomyces cerevisiae or the cdc6-1 gene of Schizosaccharomyces pombe to the engineered S. cerevisiae TIY20 strain and 	S. pombe	 KT97 strain, respectively. TIY20, which is deficient in the outer chain of mannan due to the disruption of three genes (och1Delta, mnn1 Delta, mnn4 Delta), and KT97, which is an och1 disruptant, are impractical as hosts for the production of therapeutic glycoproteins since they show a temperature-sensitive (ts) phenotype, a growth defect phenotype, and decreased protein productivity. We successfully isolated YAB mutants that alleviated the growth defect of the TIY20 strain. Surprisingly, these mutants generally secreted foreign proteins better than the wild-type strain. Furthermore, we successfully isolated YPAB mutants that alleviated the growth defect of the KT97 strain, too. The
19562901	T35	out	DOCSTART Influence of subclinical inflammatory airway disease on equine respiratory function evaluated by impulse oscillometry. REASONS FOR PERFORMING STUDY: Inflammatory airway disease (IAD) is a nonseptic condition of the lower respiratory tract. Its negative impact on respiratory function has previously been described using either forced expiration or forced oscillations techniques. However, sedation or drug-induced bronchoconstriction were usually required. The impulse oscillometry system (IOS) is a noninvasive and sensitive respiratory function test validated in horses, which could be useful to evaluate IAD-affected horses without further procedures. OBJECTIVES: To determine 	the sensitivity	 of IOS in detecting alterations of the respiratory function in subclinically IAD-affected horses without inducing bronchoprovocation and to characterise their respiratory impedance according to frequency for each respiratory phase. METHODS: Pulmonary function was evaluated at rest by IOS in 34 Standardbred trotters. According to the cytology of bronchoalveolar lavage fluid (BALF), 19 horses were defined as IAD-affected and 15 horses were used as control (CTL). Total respiratory resistance (Rrs) and reactance (Xrs) from 1-20 Hz as well as their inspiratory and expiratory components were compared between groups. RESULTS: A significant increase of Rrs at the lower frequencies (R1-10 Hz) as
2137539	T12	che	DOCSTART Calcium absorption by fish intestine: the involvement of ATP- and sodium-dependent calcium extrusion mechanisms. Measurements of unidirectional calcium fluxes in stripped intestinal epithelium of the tilapia, Oreochromis mossambicus, in the presence of ouabain or in the absence of sodium indicated that calcium absorption via the fish intestine is sodium dependent. Active Ca2+ transport mechanisms in the enterocyte plasma membrane were analyzed. The maximum capacity of the 	ATP	-dependent Ca2+ pump (Vm: 0.63 nmol.min-1.mg-1, Km:27 nM Ca2+) is calculated to be 2.17 nmol.min-1.mg-1, correcting for 29% inside-out oriented vesicles in the membrane preparation. The maximum capacity of the Na+/Ca2+ exchanger with high affinity for Ca2+ (Vm:7.2 nmol.min-1.mg-1, Km:181 nM Ca2+) is calculated to be 13.6 nmol.min-1.mg-1, correcting for 53% resealed vesicles and assuming symmetrical behavior of the Na+/Ca2+ exchanger. The high affinity for Ca2+ and the sixfold higher capacity of the exchanger compared to the ATPase suggest strongly that the Na+/Ca2+ exchanger will contribute substantially to Ca2+ extrusion in the fish enterocyte. Further evidence for an important contribution
12711704	T12	out	DOCSTART Differential regulation of cell adhesive functions by integrin alpha subunit cytoplasmic tails in vivo. Cell adhesion to fibronectin (FN) is crucial for 	early vertebrate morphogenesis	. In Xenopus gastrulae, several distinct integrin-dependent adhesive behaviors can be identified: adhesion of cells to FN, assembly of FN fibrils, and initiation of cell spreading and migration in response to mesoderm inducing signals. We have taken a chimeric integrin approach to investigate the role of the integrin alpha cytoplasmic tail in the specification of these developmentally significant adhesive functions. Cytoplasmic tail-deleted alpha4 constructs and alpha4-ectodomain/alpha-cytoplasmic tail chimeras were generated and expressed in whole embryos. Normal gastrula cells lack integrin alpha4 and, correspondingly, are unable to adhere to the alpha4 ligand, the V-region of FN. The ability of alpha4 constructs to
18946099	T1	che	DOCSTART Ultrasound-mediated release of hydrophilic and lipophilic agents from echogenic liposomes. OBJECTIVE: To achieve ultrasound-controlled drug delivery using echogenic liposomes (ELIPs), we assessed ultrasound-triggered release of hydrophilic and lipophilic agents in vitro using color Doppler ultrasound delivered with a clinical 6-MHz compact linear array transducer. METHODS: 	Calcein	, a hydrophilic agent, and papaverine, a lipophilic agent, were each separately loaded into ELIPs. Calcein-loaded ELIP (C-ELIP) and papaverine-loaded ELIP (P-ELIP) solutions were circulated in a flow model and treated with 6-MHz color Doppler ultrasound or Triton X-100. Treatment with Triton X-100 was used to release the encapsulated calcein or papaverine content completely. The free calcein concentration in the solution was measured directly by spectrofluorimetry. The free papaverine in the solution was separated from liposome-bound papaverine by spin column filtration, and the resulting papaverine concentration was measured directly by absorbance spectrophotometry. Dynamic changes in echogenicity were assessed with low-output B-mode
12827105	T46	out	Nurse attitudes towards the use of complementary and alternative therapies in critical care. BACKGROUND: There is increasing demand for complementary/alternative therapies (CAT) in critical care, however, critical care nurses' perspectives regarding CAT are unknown. OBJECTIVES: This study was conducted to determine critical care nurses' knowledge, attitudes, and use of CAT. SAMPLE/SETTING: A total of 348 critical care registered nurses working at least 40% in medical, surgical, cardiac, neurological, and pediatric ICUs at 2 tertiary-level hospitals in a large Midwestern city were surveyed. One hospital is a 926-bed private, urban hospital and the second is an 1868-bed academic-affiliated medical center. METHODS: 	A survey	 was distributed to all critical care nurses described above. RESULTS: The level of knowledge reported by 138 nurse respondents was greatest for diet, exercise, massage, prayer, and music therapy. Use of therapies was related to knowledge and training and consistent with beliefs of legitimacy and perceptions of beneficial effects. Despite barriers including lack of knowledge, time, and training, 88% of respondents were open or eager to use CAT, and 60% reported moderate or greater desire to use CAT. CONCLUSIONS: Critical care nurses are open to CAT use and many use them in their own practice. Because use was associated with
10946261	T2	ggp	DOCSTART 	IL-3	 increases production of B lymphoid progenitors from human CD34+CD38- cells. The effect of IL-3 on the B lymphoid potential of human hemopoietic stem cells is controversial. Murine studies suggest that B cell differentiation from uncommitted progenitors is completely prevented after short-term exposure to IL-3. We studied B lymphopoiesis after IL-3 stimulation of uncommitted human CD34+CD38- cells, using the stromal cell line S17 to assay the B lymphoid potential of stimulated cells. In contrast to the murine studies, production of CD19+ B cells from human CD34+CD38- cells was significantly increased by a 3-day exposure to IL-3 (p < 0.001). IL-3, however, did
8610350	T36	out	DOCSTART Increased infections in liver transplant recipients with recurrent hepatitis C virus hepatitis. Infectious complications in patients with recurrent hepatitis C virus (HCV) hepatitis after liver transplantation were prospectively assessed and compared with those of all other liver transplant recipients without HCV hepatitis operated on during the same period. Major infections occurred in 64% (	14/22	) of the patients with recurrent HCV hepatitis versus 38% (30/78) of all other patients (P = 0.04). Patients with recurrent HCV hepatitis had significantly more episodes of major infections (mean 1.45 episodes/patient vs. 0.51 episodes/patients, P = .003) and were more likely to have recurrent episodes of major infections (45%, 10/22, vs. 10%, 8/78, P = 0.005) than all other patients, respectively. The incidence of major bacterial infections was not higher in patients with recurrent HCV hepatitis (41% vs. 28%, P = NS); however, incidence of fungal infections was higher (18% vs. 6%, P = 0.10) and incidence of cytomegalovirus disease was significantly higher (32%
638909	T8	che	DOCSTART Diagnosis of penicillin allergy by skin testing: the Manitoba experience. The reliability of skin testing in the diagnosis of penicillin allergy was studied in 86 adults and 167 children with a history of possible hypersensitivity reactions to penicillin. Skin testing was done with the major antigenic determinant of benzylpenicillin and minor determinants of benzylpenicillin, 	ampicillin	, cloxacillin, methicillin and cephalothin. The overall frequency of positive skin reactions was 11.5%. Among the patients with positive skin reactions about half had a history of immediate or accelerated reactions to penicillins, but 2 of 11 adults and 50% of the children in this group had a history of maculopapular rash of delayed onset. There was a low frequency of positive skin reactions when there was a long interval between the times of clinical reaction and skin testing. Of 169 patients reacting negatively to skin testing who received a specific drug challenge only 2 manifested mild urticaria; this indicates the
7966397	T170	out	were enhanced to a different extent in both cell lines. The two neuroblastoma cell lines expressed, both constitutively and after IFN-gamma induction, only one species of TNF receptor, i.e., the p80 form in LAN-5 and the p60 form in GI-LI-N. Sequential treatment with IFN-gamma followed by TNF, but not in the opposite order, could reproduce the early effects of differentiation in neuroblastoma cells, supporting a role for TNF receptor up-regulation as a basis for the cooperation between the two cytokines. CONCLUSION: The results strongly suggest that receptor regulation can be at least one mechanism by which IFN-gamma and TNF exert 	their synergistic effects	. Moreover, it appears that the two TNF receptor types are redundant in signaling neuroblastoma cell differentiation. IMPLICATIONS: Our findings can provide a guideline for a rational design of experimental differentiation-based therapeutic protocols in patients with neuroblastoma. DOCEND
9564841	T20	che	androgen-responsive LNCaP human prostatic cancer cells, human TR3 orphan receptor, a member of the steroid receptor superfamily, can be rapidly induced by androgen. In contrast, ablation of androgen by castration can induce the expression of the TR3 orphan receptor gene in rat ventral prostate that has undergone apoptosis. This phenomenon prompted us to further analyze the potential role of human TR3 orphan receptor in prostate cancer cells in which apoptosis had been induced. Northern blot analysis shows that human TR3 orphan receptor expression can be induced rapidly after treatment of LNCaP and PC-3 prostate cancer cells with calcium ionophore or 	etoposide	. Our data further demonstrate that a much higher concentration of etoposide was needed to kill the same number of cells in LNCaP and PC-3 cells transfected stably with antisense TR3 orphan receptor compared with that in control vector transfectants. Together, our data suggest that the human TR3 orphan receptor may play an important role in modulating drug-induced prostate apoptosis. DOCEND
20048564	T3	out	DOCSTART [Rectourethral fistula after 	radical retropubic prostatectomy	: a case report]. The patient, a 56-year-old man, had surgery for anal fistula at the age of 28. In August 2007, he underwent a radical retropubic prostatectomy (RRP) for prostate cancer. Rectal injury was not recognized during the operation. However, on the 8th postoperative day, fecaluria appeared, and rectourethral fistula was diagnosed. We attempted conservative therapy including diverting colostomy and continued drainage using a urethral catheter. Subsequently, the fistula closed spontaneously 3 months after RRP. Eight months after RRP, we performed a transanal repair of rectal mucosa based on the rectal wall advancement flap procedure. The postoperative course was uneventful,
10340590	T23	che	compared with hand-plucked fibers. Mean plasma mimosine concentration at 24 and 48 h after infusion began was 79 and 98 micromol/L (P < .05), respectively, and greater (P < .05) for mimosine infused at 135 than at 102 mg/(kg BW.d) (89, 68, and 108 micromol/L for mimosine infused at 79, 102, and 135 mg/[kg BW.d], respectively; SE 9.5). In another experiment, oral dosing of eight Angora bucks (23+/-.5 kg BW) with 400 or 600 mg/kg BW of mimosine rapidly increased plasma mimosine concentration, which reached approximately 100 and 160 micromol/L at 5 h after dosing; however, periods of time during which plasma 	mimosine	 concentrations were comparable to those in the first experiment were considerably shorter. Oral mimosine dosing did not induce fiber shedding in 7 d. After 31 d, fiber was retained by nonshed fibers but could be removed by hand-plucking or could only be partially removed with difficulty by hand-plucking. There were no toxic effects of mimosine or 2,3-DHP administration; only minor, short-term inhibitions of feed intake by mimosine were noted in some goats. In conclusion, mimosine holds promise as a safe means to remove fiber of Angora goats; further research is necessary to characterize the seasonality of follicle activity and to
22763926	T71	out	FTIR. The XRD study confirms that the size of the colloidal nanoparticle is around 4 nm which the HRTEM analysis indicates the sizes of the colloidal nanoparticles are in the range of 2.5 nm. The fluorescence property of the TiO(2) colloidal nanoparticles studied by the emission spectrum confirms the presence of defect levels caused by the oxygen vacancies. We have observed new emission bands at 387 nm,421 nm, 485 nm, 530 nm and 574 nm wavelengths, first one (387 nm) being emission due to annihilation of excitons while remaining four could be arising from surface states. The emission spectrum of 	annealed nanocrystallites	 is also having these four band emissions. It is observed that the surface state emission basically consists of two categories of emission. DOCEND
15882952	T3	org	DOCSTART High-level expression and purification of a nonmitogenic form of human acidic fibroblast growth factor in 	Escherichia coli	. To decrease the potential side effects of acidic fibroblast growth factor (aFGF) caused by its broad-spectrum mitogenic activity, a nonmitogenic form of aFGF (nhaFGF), which retained the cardio- and neuroprotective characters of the wild-type aFGF, was overexpressed in Escherichia coli. The expression level of nhaFGF was up to 25% of the total cellular protein. The expressed nhaFGF was purified by ionic exchange and heparin affinity chromatography from the supernatant of bacteria lysate. The mitogenic activity of the purified nhaFGF was decreased dramatically comparable to that of the wild-type aFGF (haFGF) detected by methylthiazoletetrazolium method. The purified recombinant nhaFGF was sufficiently
10587010	T129	out	tumour transformation. Forty percent of our specimens exhibited substantial VEGF reactivity, whereas 20% showed no staining in tumour cells and stroma. These results could be positively correlated with MVD. Moreover, high-graded carcinomas revealed higher VEGF expression, but there was no association of tumour stage or lymph node status with VEGF or MVD. There was a trend in the survival and recurrence analysis towards a higher risk of disease relapse and shorter survival time for patients with enhanced VEGF expression. Apart from tumour cells, macrophages seem to be a substantial source of VEGF in carcinomas. This observation supports the concept of 	a pivotal role	 of these cells in tumour defence--in our case, promoting tumour formation by contributing to neovascularization. VEGF was also found in the connective tissue, where it seems to be bound on collagens and probably builds a reservoir for rapid enzymatic mobilization. DOCEND
5017229	T2	dis	DOCSTART [Role of diabetes mellitus and 	obesity	 in hospital mortality]. DOCEND
26974593	T20	che	rat model of cardiotoxicity. The clinical application of doxorubicin is limited by its cardiotoxicity. The present study investigated the effect of valsartan on doxorubicin-induced cardiotoxicity in rats. Rats were divided into 6 groups: control, control + valsartan (10 mg/kg, for 14 days, orally), doxorubicin-treated (2.5 mg/kg, 3 times/week for 2 weeks, intraperitoneally), valsartan then doxorubicin, valsartan + doxorubicin, and doxorubicin then valsartan. ECG, isolated heart, lipid peroxidation (thiobaribituric acid reactive substances (TBARS)), total antioxidant capacity (TAC), and Bax, Bcl-2, and senescence marker protein 30 (SMP30) gene expression were measured in cardiac tissue. Blood samples were collected to measure lactate dehydrogenase (LDH) and 	creatine	 kinase MB (CK-MB). Doxorubicin significantly increased LDH, CK-MB, TBARS, heart rate (HR), Bax gene expression, and -dP/dtmax and decreased TAC, Bcl-2 and SMP30 gene expression, left ventricular developed pressure (LVDP), and +dP/dtmax. Also, doxorubicin lengthened ST, QT, and QTc intervals. Concurrent or post- but not pre-treatment of doxorubicin-treated rats with valsartan reduced LDH, CK-MB, TBARS, HR, Bax gene expression, -dP/dtmax, and ST, QT, and QTc intervals and increased TAC, Bcl-2 and SMP30 gene expression, LVDP, and +dP/dtmax. Therefore, we conclude that concurrent or post- but not pre-treatment of doxorubicin-induced rats with valsartan attenuated doxorubicin-induced cardiotoxicity through inhibiting oxidative stress, apoptosis,
12375134	T82	out	days later with Rhizoctonia solani. At different times after R. solani infection, disease severity, mortality rate, root colonization levels, various growth parameters, and shoot mineral content were evaluated. In Goldrush, only inoculation with G. etunicatum led to a significant reduction in disease severity, ranging between 60.2% and 71.2%, on both shoot and crown. This decrease was not observed in LP89221. Compared with the control plantlets, inoculation of Goldrush with G. etunicatum or G. intraradices reduced significantly the mortality rate by 77% and 26%, respectively, whereas vesicular-arbuscular mycorrhizal (VAM) fungi did not significantly influence the mortality rate in LP89221. In Goldrush, 	inoculation	 with G. etunicatum significantly increased shoot fresh weight, root dry weight and the number of tubers produced per plant, whereas G. intraradices only significantly increased the number of tubers. Tuber and root fresh weights of both potato cultivars were significantly reduced by R. solani infection. However, R. solani-infected plantlets of both Goldrush and LP89221, inoculated with G. etunicatum, produced significantly greater tuber fresh weight than non-VAM plantlets. In R. solani-infected plantlets of Goldrush but not LP89221, G. etunicatum and G. intraradices increased root fresh weight by approximately 140.3% and 76.5%, respectively, compared with non-VAM plants. The potato cultivars Goldrush and
29627988	T23	che	is the only structure experimentally found in argon and krypton matrixes, whereas the weaker non-hydrogen-bonded complexes predicted by theory were not detected. The vibrational spectrum of this complex is characterized by a red-shift of the CF3 asymmetric stretching, splitting of the C-H bending mode, and blue-shifts of the C-H and C-O stretching vibrations as compared to the monomer molecules. The observed complexation-induced shifts of CHF3 and CO fundamentals are in good agreement with the computational predictions. It was shown that both MP2 and CCSD(T) calculations generally provided a reasonable description of the vibrational properties for the weak intermolecular complexes of 	fluoroform	. DOCEND
20172218	T1	out	DOCSTART 	The effect	 of injectable butaphosphan and cyanocobalamin on postpartum serum beta-hydroxybutyrate, calcium, and phosphorus concentrations in dairy cattle. The objective of this study was to determine the effect of an injection of 10% butaphosphan and cyanocobalamin (Catosal, Bayer, Shawnee Mission, KS) on the day of calving and 1 d later on the prevalence of subclinical ketosis in dairy cattle in the early postpartum period. Cows from 4 herds (n=1,122) were randomized to receive either 25mL of 10% butaphosphan and cyanocobalamin or 25mL of sterile water subcutaneously on both days. Each milliliter of Catosal contained 0.05mg of cyanocobalamin and 100mg of butaphosphan, which
12622787	T16	che	of non-segmental vitiligo especially during its active phase. Neural factors appear to play a major role in the pathogenesis of vitiligo. To investigate the possible correlation between vitiligo and peripheral monoaminergic system activity, we used high-pressure liquid chromatography and electrochemical detector methods to evaluate the basal urine excretion values of catecholamines [norepinephrine (NE), epinephrine and dopamine (DA)], their relative metabolites [3-methoxy-4-hydroxyphenylglycol (MHPG), normetanephrine (NMN), metanephrine (MN), vanilmandelic acid (VMA) and homovanillic acid], as well as 5-hydroxyindoleacetic acid (5-HIAA), in 35 healthy subjects and in 70 patients, suffering from non-segmental vitiligo at different stages of the disease. Levels of NE, DA, 	NMN	, MN, MHPG, VMA and 5-HIAA were found to be significantly higher in patients than in controls. The patients with progressive vitiligo (n = 56) presented increased urinary excretion values for all parameters (in particular, NE levels) than other patients. Interestingly, in patients at its more recent vitiligo onset (<1 yr), NE values were different to those of subjects affected from 1 to 5 yr and from 6 to 10 yr. This result was confirmed by the significant negative relationship detected between NE excretion values and disease duration. In both vitiligo and control groups, significant correlations were found between monoamines as well
18211684	T134	out	and complementary set of regulatory interactions. Based on our results, we can also identify functionally interacting target genes, for instance, a group of co-regulated proteins related to cell wall synthesis. Furthermore, we report novel conserved binding sites of a glycoprotein-encoding gene, CIS3, regulated by Swi6-Swi4 and Ndd1-Fkh2-Mcm1 complexes. CONCLUSION: We provide a simple method to prioritize individual TF-gene interactions from large-scale transcriptional modules. In comparison with other published works, we predict a complementary set of regulatory interactions which yields a similar or higher prediction accuracy at the expense of sensitivity. Therefore, our method can serve as an alternative approach to 	prioritization	 for further experimental studies. DOCEND
11862261	T8	che	DOCSTART Modulation of Substance P Release in Primary Sensory Neurons by Misoprostol and Prostaglandins. Pain is one of the cardinal signs of inflammation. A number of inflammatory mediators have been shown in animal models to induce or augment pain. Of particular interest are the prostaglandins (PGs), which are arachidonic acid metabolites and can be pharmacologically regulated by cyclooxygenase inhibitors, the nonsteroidal anti-inflammatory drugs (NSAIDs). Indeed, NSAIDs are potent modulators of pain sensitivity. They are thought to mediate their hypoalgesic action through inhibition of 	prostaglandin	 production. However, indiscriminate inhibition of prostaglandin synthesis also creates a significant number of clinical side effects, among them gastrointestinal toxicity. With the introduction of misoprostol, a PGE(1) analog, a large number of investigative possibilities are opened. We have proposed to study the effect of misoprostol in an in vitro pain model. Our model, created by culturing primary sensory neurons isolated from dorsal root ganglions, was then differentiated by nerve growth factor and subjected to electrical stimulation. Substance P release following electrical stimulation was quantitated by radioimmunoassay. We found that misoprostol augmented substance P release in a dose-related manner. With 100
23611912	T13	out	DOCSTART Cricoid pressure training using simulation: a systematic review and meta-analysis. Cricoid pressure (CP) is commonly applied during rapid sequence intubation and may be protective during induction of 	anaesthesia	; however, CP application by untrained practitioners may not be performed optimally. The objective of this systematic review was to synthesize the evidence regarding effectiveness of technology-enhanced simulation training to improve efficacy of CP application. Electronic databases from inception through May 11, 2011 were searched. Eligible studies evaluated CP simulation training. Independent reviewers working in duplicate extracted study characteristics, validity, and outcomes data. Pooled effect size (ES) with 95% confidence intervals (CIs) were estimated from each study that compared technology-enhanced simulation with no intervention or with other methods of CP training using random-effects model. Twelve studies (772 trainees) evaluated CP training
